number,player_name,PR
1,Viktor AXELSEN,352.7205683
2,SHI Yu Qi,194.7763029
3,LI Shi Feng,69.13131443
4,Anders ANTONSEN,134.9559103
5,Anthony Sinisuka GINTING,125.6044397
6,Kodai NARAOKA,46.73123597
7,PRANNOY H. S.,70.40500803
8,Kunlavut VITIDSARN,73.15072417
9,Jonatan CHRISTIE,115.7016144
10,LEE Zii Jia,81.26522682
11,Kenta NISHIMOTO,67.36908774
12,LOH Kean Yew,60.23894611
13,LEE Cheuk Yiu,44.46330398
14,CHOU Tien Chen,133.297231
15,WENG Hong Yang,30.57960558
16,LU Guang Zu,44.92906654
17,Kanta TSUNEYAMA,43.26716003
18,LIN Chun-Yi,23.27852679
19,Lakshya SEN,38.19738991
20,NG Ka Long Angus,77.31936003
21,Koki WATANABE,23.53353612
22,Brian YANG,6.745365301
23,KIDAMBI Srikanth,82.72356402
24,Toma Junior POPOV,17.9860186
25,WANG Tzu Wei,50.80754422
26,Christo POPOV,12.40464881
27,Rasmus GEMKE,30.80624474
28,Chico Aura DWI WARDOYO,19.51899716
29,Takuma OBAYASHI,5.082653876
30,LEE Chia Hao,12.06395432
31,Yushi TANAKA,2.26548453
32,ZHAO Jun Peng,34.35838944
